Time,X Pos of Ball 1,Y Pos of Ball 1,X Velocity of Ball 1,Y Velocity of Ball 1,Final Velocity of Ball 1,Angle of Velocity of Ball 1,Ax of Ball 1,Ay of Ball 1,Afinal of Ball 1,Angle of A Ball 1,Force on Ball 1,Angle of Force,X Pos of Ball 2,Y Pos of Ball 2,X Velocity of Ball 2,Y Velocity of Ball 2,Final Velocity of Ball 2,Angle of Velocity of Ball 2,Ax of Ball 2,Ay of Ball 2,Afinal of Ball 2,Angle of A Ball 2,Force on Ball 2,Angle of Force
0,-1,0,5,0,5,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0
0.01,-0.95003,0,4.998,0,4.998,0,-0.2,0,0.2,0,1,0,1.03003,0,3.002,0,3.002,0,0.2,0,0.2,0,1,0
0.02,-0.9000797009,0,4.99601994,0,4.99601994,0,-0.198006,0,0.198006,0,0.99003,0,1.0600797009,0,3.00398006,0,3.00398006,0,0.198006,0,0.198006,0,0.99003,0
0.03,-0.850148903891027,0,4.9940597805982,0,4.9940597805982,0,-0.19601594018,0,0.19601594018,0,0.9800797009,0,1.09014890389103,0,3.0059402194018,0,3.0059402194018,0,0.19601594018,0,0.19601594018,0,0.9800797009,0
0.04,-0.800237410552162,0,4.99211948279042,0,4.99211948279042,0,-0.194029780778205,0,0.194029780778205,0,0.970148903891027,0,1.12023741055216,0,3.00788051720958,0,3.00788051720958,0,0.194029780778205,0,0.194029780778205,0,0.970148903891027,0
0.05,-0.750345022846574,0,4.99019900796931,0,4.99019900796931,0,-0.192047482110432,0,0.192047482110432,0,0.960237410552162,0,1.15034502284657,0,3.00980099203069,0,3.00980099203069,0,0.192047482110432,0,0.192047482110432,0,0.960237410552162,0
0.06,-0.700471543117566,0,4.98829831792362,0,4.98829831792362,0,-0.190069004569315,0,0.190069004569315,0,0.950345022846574,0,1.18047154311757,0,3.01170168207638,0,3.01170168207638,0,0.190069004569315,0,0.190069004569315,0,0.950345022846574,0
0.07,-0.650616774084624,0,4.98641737483739,0,4.98641737483739,0,-0.188094308623513,0,0.188094308623513,0,0.940471543117566,0,1.21061677408462,0,3.01358262516262,0,3.01358262516262,0,0.188094308623513,0,0.188094308623513,0,0.940471543117566,0
0.08,-0.600780518839472,0,4.98455614128922,0,4.98455614128922,0,-0.186123354816925,0,0.186123354816925,0,0.930616774084624,0,1.24078051883947,0,3.01544385871078,0,3.01544385871078,0,0.186123354816925,0,0.186123354816925,0,0.930616774084624,0
0.09,-0.550962580842145,0,4.98271458025154,0,4.98271458025154,0,-0.184156103767894,0,0.184156103767894,0,0.920780518839472,0,1.27096258084215,0,3.01728541974846,0,3.01728541974846,0,0.184156103767894,0,0.184156103767894,0,0.920780518839472,0
0.1,-0.501162763917055,0,4.98089265508985,0,4.98089265508985,0,-0.182192516168429,0,0.182192516168429,0,0.910962580842145,0,1.30116276391706,0,3.01910734491015,0,3.01910734491015,0,0.182192516168429,0,0.182192516168429,0,0.910962580842145,0
0.11,-0.451380872249074,0,4.97909032956202,0,4.97909032956202,0,-0.180232552783411,0,0.180232552783411,0,0.901162763917055,0,1.33138087224907,0,3.02090967043798,0,3.02090967043798,0,0.180232552783411,0,0.180232552783411,0,0.901162763917055,0
0.12,-0.401616710379622,0,4.97730756781752,0,4.97730756781752,0,-0.178276174449815,0,0.178276174449815,0,0.891380872249074,0,1.36161671037962,0,3.02269243218248,0,3.02269243218248,0,0.178276174449815,0,0.178276174449815,0,0.891380872249074,0
0.13,-0.351870083202758,0,4.97554433439676,0,4.97554433439676,0,-0.176323342075924,0,0.176323342075924,0,0.881616710379622,0,1.39187008320276,0,3.02445566560324,0,3.02445566560324,0,0.176323342075924,0,0.176323342075924,0,0.881616710379622,0
0.14,-0.302140795961286,0,4.97380059423035,0,4.97380059423035,0,-0.174374016640552,0,0.174374016640552,0,0.871870083202758,0,1.42214079596129,0,3.02619940576964,0,3.02619940576964,0,0.174374016640551,0,0.174374016640551,0,0.871870083202758,0
0.15,-0.252428654242862,0,4.97207631263843,0,4.97207631263843,0,-0.172428159192257,0,0.172428159192257,0,0.862140795961286,0,1.45242865424286,0,3.02792368736157,0,3.02792368736157,0,0.172428159192257,0,0.172428159192257,0,0.862140795961286,0
0.16,-0.202733463976105,0,4.97037145532995,0,4.97037145532995,0,-0.170485730848572,0,0.170485730848572,0,0.852428654242861,0,1.4827334639761,0,3.02962854467005,0,3.02962854467005,0,0.170485730848572,0,0.170485730848572,0,0.852428654242861,0
0.17,-0.153055031426724,0,4.96868598840199,0,4.96868598840199,0,-0.168546692795221,0,0.168546692795221,0,0.842733463976104,0,1.51305503142672,0,3.031314011598,0,3.031314011598,0,0.168546692795221,0,0.168546692795221,0,0.842733463976104,0
0.18,-0.103393163193647,0,4.96701987833914,0,4.96701987833914,0,-0.166611006285345,0,0.166611006285345,0,0.833055031426724,0,1.54339316319365,0,3.03298012166086,0,3.03298012166086,0,0.166611006285345,0,0.166611006285345,0,0.833055031426724,0
0.19,-0.0537476662051516,0,4.96537309201275,0,4.96537309201275,0,-0.164678632638729,0,0.164678632638729,0,0.823393163193647,0,1.57374766620515,0,3.03462690798724,0,3.03462690798724,0,0.164678632638729,0,0.164678632638729,0,0.823393163193647,0
0.2,-0.00411834771501027,0,4.96374559668034,0,4.96374559668034,0,-0.16274953324103,0,0.16274953324103,0,0.813747666205151,0,1.60411834771501,0,3.03625440331966,0,3.03625440331966,0,0.16274953324103,0,0.16274953324103,0,0.813747666205151,0
0.21,0.0454949847013617,0,4.96213735998491,0,4.96213735998491,0,-0.160823669543002,0,0.160823669543002,0,0.80411834771501,0,1.63450501529864,0,3.03786264001509,0,3.03786264001509,0,0.160823669543002,0,0.160823669543002,0,0.80411834771501,0
0.22,0.0950925231507519,0,4.96054834995432,0,4.96054834995432,0,-0.158901003059728,0,0.158901003059728,0,0.794505015298638,0,1.66490747684925,0,3.03945165004568,0,3.03945165004568,0,0.158901003059728,0,0.158901003059728,0,0.794505015298638,0
0.23,0.14467445942599,0,4.95897853500062,0,4.95897853500062,0,-0.15698149536985,0,0.15698149536985,0,0.784907476849247,0,1.69532554057401,0,3.04102146499938,0,3.04102146499938,0,0.156981495369849,0,0.156981495369849,0,0.784907476849248,0
0.24,0.194240985009778,0,4.95742788391947,0,4.95742788391947,0,-0.155065108114802,0,0.155065108114802,0,0.77532554057401,0,1.72575901499022,0,3.04257211608053,0,3.04257211608053,0,0.155065108114802,0,0.155065108114802,0,0.77532554057401,0
0.25,0.243792291078523,0,4.95589636588949,0,4.95589636588949,0,-0.153151802998044,0,0.153151802998044,0,0.765759014990221,0,1.75620770892148,0,3.04410363411051,0,3.04410363411051,0,0.153151802998044,0,0.153151802998044,0,0.765759014990221,0
0.26,0.293328568506151,0,4.95438395047165,0,4.95438395047165,0,-0.151241541784295,0,0.151241541784295,0,0.756207708921476,0,1.78667143149385,0,3.04561604952835,0,3.04561604952835,0,0.151241541784295,0,0.151241541784295,0,0.756207708921476,0
0.27,0.342850007867922,0,4.95289060760866,0,4.95289060760866,0,-0.14933428629877,0,0.14933428629877,0,0.746671431493849,0,1.81714999213208,0,3.04710939239134,0,3.04710939239134,0,0.14933428629877,0,0.14933428629877,0,0.746671431493849,0
0.28,0.392356799444245,0,4.95141630762439,0,4.95141630762439,0,-0.147429998426415,0,0.147429998426415,0,0.737149992132077,0,1.84764320055575,0,3.0485836923756,0,3.0485836923756,0,0.147429998426415,0,0.147429998426415,0,0.737149992132077,0
0.29,0.441849133224472,0,4.94996102122328,0,4.94996102122328,0,-0.145528640111151,0,0.145528640111151,0,0.727643200555754,0,1.87815086677553,0,3.05003897877672,0,3.05003897877672,0,0.145528640111151,0,0.145528640111151,0,0.727643200555754,0
0.3,0.491327198910702,0,4.94852471948973,0,4.94852471948973,0,-0.143630173355105,0,0.143630173355105,0,0.718150866775527,0,1.9086728010893,0,3.05147528051027,0,3.05147528051027,0,0.143630173355105,0,0.143630173355105,0,0.718150866775527,0
0.31,0.540791185921567,0,4.94710737388755,0,4.94710737388755,0,-0.14173456021786,0,0.14173456021786,0,0.708672801089298,0,1.93920881407843,0,3.05289262611245,0,3.05289262611245,0,0.14173456021786,0,0.14173456021786,0,0.708672801089298,0
0.32,0.59024128339602,0,4.9457089562594,0,4.9457089562594,0,-0.139841762815687,0,0.139841762815687,0,0.699208814078433,0,1.96975871660398,0,3.0542910437406,0,3.0542910437406,0,0.139841762815687,0,0.139841762815687,0,0.699208814078433,0
0.33,0.639677680197116,0,4.94432943882619,0,4.94432943882619,0,-0.137951743320796,0,0.137951743320796,0,0.689758716603979,0,2.00032231980288,0,3.05567056117381,0,3.05567056117381,0,0.137951743320796,0,0.137951743320796,0,0.68975871660398,0
0.34,0.689100564915783,0,4.94296879418658,0,4.94296879418658,0,-0.136064463960577,0,0.136064463960577,0,0.680322319802883,0,2.03089943508421,0,3.05703120581342,0,3.05703120581342,0,0.136064463960577,0,0.136064463960577,0,0.680322319802884,0
0.35,0.738510125874597,0,4.94162699531641,0,4.94162699531641,0,-0.134179887016843,0,0.134179887016843,0,0.670899435084216,0,2.0614898741254,0,3.05837300468358,0,3.05837300468358,0,0.134179887016843,0,0.134179887016843,0,0.670899435084216,0
0.36,0.787906551131537,0,4.94030401556816,0,4.94030401556816,0,-0.13229797482508,0,0.13229797482508,0,0.661489874125402,0,2.09209344886846,0,3.05969598443184,0,3.05969598443184,0,0.13229797482508,0,0.13229797482508,0,0.661489874125402,0
0.37,0.837290028483753,0,4.93899982867043,0,4.93899982867043,0,-0.130418689773692,0,0.130418689773692,0,0.652093448868462,0,2.12270997151625,0,3.06100017132957,0,3.06100017132957,0,0.130418689773692,0,0.130418689773692,0,0.652093448868462,0
0.38,0.886660745471311,0,4.93771440872739,0,4.93771440872739,0,-0.128541994303249,0,0.128541994303249,0,0.642709971516246,0,2.15333925452869,0,3.0622855912726,0,3.0622855912726,0,0.128541994303249,0,0.128541994303249,0,0.642709971516246,0
0.39,0.936018889380949,0,4.93644773021834,0,4.93644773021834,0,-0.126667850905738,0,0.126667850905738,0,0.633339254528688,0,2.18398111061905,0,3.06355226978166,0,3.06355226978166,0,0.126667850905738,0,0.126667850905738,0,0.633339254528688,0
